id;name;slug;provinceId
73.18;Tana Toraja;tana-toraja;27
73.22;Luwu Utara;luwu-utara;27
73.24;Luwu Timur;luwu-timur;27
73.26;Toraja Utara;toraja-utara;27
73.71;Kota Makassar;kota-makassar;27
73.72;Kota Pare Pare;kota-pare-pare;27
73.73;Kota Palopo;kota-palopo;27
74.01;Kolaka;kolaka;28
74.02;Konawe;konawe;28
74.03;Muna;muna;28
74.04;Buton;buton;28
74.05;Konawe Selatan;konawe-selatan;28
74.06;Bombana;bombana;28
74.07;Wakatobi;wakatobi;28
74.08;Kolaka Utara;kolaka-utara;28
74.09;Konawe Utara;konawe-utara;28
74.10;Buton Utara;buton-utara;28
74.11;Kolaka Timur;kolaka-timur;28
74.12;Konawe Kepulauan;konawe-kepulauan;28
74.13;Muna Barat;muna-barat;28
74.14;Buton Tengah;buton-tengah;28
74.15;Buton Selatan;buton-selatan;28
74.71;Kota Kendari;kota-kendari;28
74.72;Kota Bau Bau;kota-bau-bau;28
75.01;Gorontalo;gorontalo;29
75.02;Boalemo;boalemo;29
75.03;Bone Bolango;bone-bolango;29
75.04;Pahuwato;pahuwato;29
75.05;Gorontalo Utara;gorontalo-utara;29
75.71;Kota Gorontalo;kota-gorontalo;29
76.01;Pasangkayu (Mamuju Utara);pasangkayu-(mamuju-utara);30
76.02;Mamuju;mamuju;30
76.03;Mamasa;mamasa;30
76.04;Polewali Mandar;polewali-mandar;30
76.05;Majene;majene;30
76.06;Mamuju Tengah;mamuju-tengah;30
81.01;Maluku Tengah;maluku-tengah;31
81.02;Maluku Tenggara;maluku-tenggara;31
81.03;Kepulauan Tanimbar;kepulauan-tanimbar;31
81.04;Buru;buru;31
81.05;Seram Bagian Timur;seram-bagian-timur;31
81.06;Seram Bagian Barat;seram-bagian-barat;31
81.07;Kepulauan Aru;kepulauan-aru;31
81.08;Maluku Barat Daya;maluku-barat-daya;31
81.09;Buru Selatan;buru-selatan;31
81.71;Kota Ambon;kota-ambon;31
81.72;Kota Tual;kota-tual;31
82.01;Halmahera Barat;halmahera-barat;32
82.02;Halmahera Tengah;halmahera-tengah;32
82.03;Halmahera Utara;halmahera-utara;32
82.04;Halmahera Selatan;halmahera-selatan;32
82.05;Kepulauan Sula;kepulauan-sula;32
82.06;Halmahera Timur;halmahera-timur;32
82.07;Pulau Morotai;pulau-morotai;32
82.08;Pulau Taliabu;pulau-taliabu;32
82.71;Kota Ternate;kota-ternate;32
82.72;Kota Tidore Kepulauan;kota-tidore-kepulauan;32
91.03;Jayapura;jayapura;33
91.05;Kepulauan Yapen;kepulauan-yapen;33
91.06;Biak Numfor;biak-numfor;33
91.10;Sarmi;sarmi;33
91.11;Keerom;keerom;33
91.15;Waropen;waropen;33
91.19;Supiori;supiori;33
91.20;Mamberamo Raya;mamberamo-raya;33
91.71;Kota Jayapura;kota-jayapura;33
92.02;Manokwari;manokwari;34
92.03;Fak Fak;fak-fak;34
92.06;Teluk Bintuni;teluk-bintuni;34
92.07;Teluk Wondama;teluk-wondama;34
92.08;Kaimana;kaimana;34
92.11;Manokwari Selatan;manokwari-selatan;34
92.12;Pegunungan Arfak;pegunungan-arfak;34
93.01;Merauke;merauke;35
93.02;Boven Digoel;boven-digoel;35
93.03;Mappi;mappi;35
93.04;Asmat;asmat;35
94.01;Nabire;nabire;36
94.02;Puncak Jaya;puncak-jaya;36
94.03;Paniai;paniai;36
94.04;Mimika;mimika;36
94.05;Puncak;puncak;36
94.06;Dogiyai;dogiyai;36
94.07;Intan Jaya;intan-jaya;36
94.08;Deiyai;deiyai;36
95.01;Jayawijaya;jayawijaya;37
95.02;Pegunungan Bintang;pegunungan-bintang;37
95.03;Yahukimo;yahukimo;37
95.04;Tolikara;tolikara;37
95.05;Mamberamo Tengah;mamberamo-tengah;37
95.06;Yalimo;yalimo;37
95.07;Lanny Jaya;lanny-jaya;37
95.08;Nduga;nduga;37
96.01;Sorong;sorong;38
96.04;Sorong Selatan;sorong-selatan;38
96.05;Raja Ampat;raja-ampat;38
96.09;Tambrauw;tambrauw;38
96.10;Maybrat;maybrat;38
96.71;Kota Sorong;kota-sorong;38
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
